ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20230629,189.59,189.08,190.07,188.94,189.25,0.18,46347309,8784928492.79,189.55
AAPL,20230628,189.25,187.93,189.9,187.6,188.06,0.63,51216801,9674064970.16,188.88
AAPL,20230627,188.06,185.89,188.39,185.67,185.27,1.51,50730848,9510654120.93,187.47
AAPL,20230626,185.27,186.83,188.05,185.23,186.68,-0.76,47504500,8853679690.2,186.38
AAPL,20230623,186.68,185.55,187.56,185.01,187.0,-0.17,53116997,9906086756.88,186.5
AAPL,20230622,187.0,183.74,187.04,183.67,183.96,1.65,51245329,9535669325.93,186.08
AAPL,20230621,183.96,184.9,185.41,182.59,185.01,-0.57,49515696,9115206327.85,184.09
AAPL,20230620,185.01,184.41,186.1,184.41,184.92,0.05,49799094,9228365225.41,185.31
AAPL,20230616,184.92,186.73,186.99,184.27,186.01,-0.59,101256250,18786163193.13,185.53
AAPL,20230615,186.01,183.96,186.52,183.78,183.95,1.12,65433165,12142282587.1,185.57
AAPL,20230614,183.95,183.37,184.39,182.02,183.31,0.35,57462883,10555616135.87,183.69
AAPL,20230613,183.31,182.8,184.15,182.44,183.79,-0.26,54929129,10061533895.61,183.17
AAPL,20230612,183.79,181.27,183.89,180.97,180.96,1.56,54754997,10004685760.9,182.72
AAPL,20230609,180.96,181.5,182.23,180.63,180.57,0.22,48899973,8873761229.37,181.47
AAPL,20230608,180.57,177.9,180.84,177.46,177.82,1.55,50214883,9013782401.01,179.5
AAPL,20230607,177.82,178.44,181.21,177.32,179.21,-0.78,61944614,11069373057.56,178.7
AAPL,20230606,179.21,179.97,180.12,177.43,179.58,-0.21,64848375,11586680294.21,178.67
AAPL,20230605,179.58,182.63,184.95,178.04,180.95,-0.76,121946500,22220371745.65,182.21
AAPL,20230602,180.95,181.03,181.78,179.26,180.09,0.48,61996915,11197585822.08,180.62
AAPL,20230601,180.09,177.7,180.12,176.93,177.25,1.6,68901813,12354454049.35,179.31
AAPL,20230531,177.25,177.32,179.35,176.76,177.3,-0.03,99625313,17736434945.08,178.03
AAPL,20230530,177.3,176.96,178.99,176.57,175.43,1.07,55964403,9931443516.02,177.46
AAPL,20230526,175.43,173.32,175.77,173.11,172.99,1.41,54834977,9604362672.04,175.15
AAPL,20230525,172.99,172.41,173.9,171.69,171.84,0.67,56058258,9692579879.47,172.9
AAPL,20230524,171.84,171.09,172.42,170.52,171.56,0.16,45143489,7741711100.8,171.49
AAPL,20230523,171.56,173.13,173.38,171.28,174.2,-1.52,50747262,8740206516.46,172.23
AAPL,20230522,174.2,173.98,174.71,173.45,175.16,-0.55,43570934,7589930347.09,174.2
AAPL,20230519,175.16,176.39,176.39,174.94,175.05,0.06,55809477,9797415635.87,175.55
AAPL,20230518,175.05,173.0,175.24,172.58,172.69,1.37,65496657,11418445498.72,174.34
AAPL,20230517,172.69,171.71,172.93,170.42,172.07,0.36,57951606,9956318296.74,171.8
AAPL,20230516,172.07,171.99,173.14,171.8,172.07,0.0,42110293,7255502840.3,172.3
AAPL,20230515,172.07,173.16,173.21,171.47,172.57,-0.29,37266661,6413507017.45,172.1
AAPL,20230512,172.57,173.62,174.06,171.0,173.75,-0.68,45533137,7847859729.65,172.35
AAPL,20230511,173.75,173.85,174.59,172.17,173.56,0.11,49514676,8589648040.66,173.48
AAPL,20230510,173.56,173.02,174.03,171.9,171.77,1.04,53724500,9303600603.8,173.17
AAPL,20230509,171.77,173.05,173.54,171.6,173.5,-1.0,45326875,7807359313.19,172.25
AAPL,20230508,173.5,172.48,173.85,172.11,173.57,-0.04,55962793,9698856251.66,173.31
AAPL,20230505,173.57,170.98,174.3,170.76,165.79,4.69,113453190,19671773412.61,173.39
AAPL,20230504,165.79,164.89,167.04,164.31,167.45,-0.99,81235438,13462109326.13,165.72
AAPL,20230503,167.45,169.5,170.92,167.16,168.54,-0.65,65136020,11033716759.26,169.4
AAPL,20230502,168.54,170.09,170.35,167.54,169.59,-0.62,48425696,8169022667.06,168.69
